Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
Kepler-1460 b,0,0,0.003,0.17,0.0142,517,434,3.06,29.9633,2.6,13.4,553.22,4422,4.64,TRUE,nexsci
Kepler-1461 b,0,0,0.004,0.18,0.015,586,493,3.055,29.3495,4.207,13.5,679.11,4919,4.6,TRUE,nexsci
Kepler-1462 b,0,0,0.005,0.34,0.044,593,499,2.972,65.6488,7.431,14.1,1017.82,5756,4.45,TRUE,nexsci
Kepler-1463 b,0,0,0.002,0.17,0.013,771,649,3.068,25.1586,5.198,14,1687.47,5679,4.47,TRUE,nexsci
Kepler-1464 b,0,0,0.005,0.15,0.0107,791,665,3.083,31.7786,8.093,12.5,1151.73,5828,4.44,TRUE,nexsci
Kepler-1464 c,0,0,0.005,0.09,0.00306,1435,1206,2.981,5.3279,4.696,12.5,1151.73,5828,4.44,TRUE,nexsci
Kepler-1465 b,0,0,0.004,0.16,0.0119,519,436,3.072,31.8277,1.584,12,359.5,4726,4.62,TRUE,nexsci
Kepler-1466 b,0,0,0.003,0.14,0.00951,773,650,3.093,31.175,3.79,12.4,631.95,5884,4.43,TRUE,nexsci
Kepler-1467 b,0,0,0.006,0.29,0.0343,567,476,2.993,47.0569,5.2232,13.6,852.89,5332,4.55,TRUE,nexsci
Kepler-1468 b,0,0,0.004,0.15,0.0115,1211,1019,3.08,8.2398,5.617,13.5,1899.24,5893,4.42,TRUE,nexsci
Kepler-1468 c,0,0,0.003,0.1,0.00505,1604,1349,3.072,3.5455,4.143,13.5,1899.24,5893,4.42,TRUE,nexsci
Kepler-1469 b,0,0,0.004,0.25,0.0259,778,654,3.012,21.8635,3.582,14.1,1159.3,5507,4.51,TRUE,nexsci
Kepler-146 b,0,0.001,0.008,0.33,0.0418,839,705,2.976,31.1588,5.1803,12.5,716.8,5948,4.31,TRUE,nexsci
Kepler-146 c,0,0,0.005,0.28,0.0313,622,523,2.999,76.7322,6.243,12.5,716.8,5948,4.31,TRUE,nexsci
Kepler-1470 b,0,0,0.003,0.1,0.0039,728,612,3.03,16.2951,3.678,12.9,590.6,4961,4.59,TRUE,nexsci
Kepler-1471 b,0,0,0.003,0.13,0.00809,1471,1237,3.101,3.639,2.213,13.6,978.68,5660,4.48,TRUE,nexsci
Kepler-1472 b,0,0,0.002,0.17,0.0134,819,689,3.06,38.1313,6.345,13.3,1479.14,6159,4.31,TRUE,nexsci
Kepler-1473 b,0,0,0.003,0.11,0.0057,1063,894,3.099,14.4274,3.89,12,652.25,6046,4.4,TRUE,nexsci
Kepler-1474 b,0,0,0.003,0.19,0.0167,748,629,3.046,36.4333,4.213,13.6,1180.9,5870,4.42,TRUE,nexsci
